0 2 {}
0 3 {}
0 5 {}
0 6 {}
0 8 {}
0 17 {}
0 18 {}
0 21 {}
0 29 {}
0 56 {}
0 67 {}
0 70 {}
0 71 {}
1 2 {}
1 4 {}
1 5 {}
1 10 {}
1 19 {}
1 20 {}
1 30 {}
1 34 {}
1 37 {}
1 38 {}
1 44 {}
1 45 {}
1 46 {}
1 50 {}
1 68 {}
1 70 {}
1 71 {}
1 72 {}
2 3 {}
2 4 {}
2 9 {}
2 10 {}
2 11 {}
2 15 {}
2 18 {}
2 19 {}
2 25 {}
2 27 {}
2 37 {}
2 39 {}
2 41 {}
2 47 {}
2 77 {}
2 79 {}
3 6 {}
3 7 {}
3 14 {}
3 25 {}
3 28 {}
3 57 {}
3 65 {}
3 75 {}
4 7 {}
4 8 {}
4 27 {}
4 29 {}
4 30 {}
4 41 {}
4 55 {}
5 14 {}
5 32 {}
5 33 {}
5 35 {}
5 45 {}
5 49 {}
7 54 {}
8 9 {}
8 58 {}
9 42 {}
9 58 {}
9 72 {}
9 76 {}
9 77 {}
10 11 {}
10 12 {}
10 13 {}
10 16 {}
10 24 {}
10 26 {}
10 38 {}
10 42 {}
10 52 {}
10 55 {}
10 60 {}
11 12 {}
11 16 {}
11 23 {}
11 31 {}
11 47 {}
11 49 {}
11 69 {}
12 13 {}
12 15 {}
12 17 {}
12 22 {}
12 23 {}
12 24 {}
12 26 {}
12 31 {}
12 36 {}
12 43 {}
12 50 {}
12 54 {}
12 59 {}
12 63 {}
12 78 {}
13 36 {}
13 48 {}
13 59 {}
13 64 {}
14 56 {}
14 75 {}
15 21 {}
15 22 {}
15 28 {}
15 60 {}
15 73 {}
15 79 {}
16 33 {}
17 43 {}
18 39 {}
19 20 {}
21 67 {}
22 48 {}
22 66 {}
23 32 {}
25 57 {}
26 78 {}
27 52 {}
29 61 {}
29 65 {}
31 63 {}
31 76 {}
32 40 {}
33 34 {}
33 35 {}
33 40 {}
33 62 {}
35 62 {}
36 51 {}
38 44 {}
41 53 {}
41 74 {}
44 61 {}
45 46 {}
46 51 {}
46 53 {}
46 64 {}
46 68 {}
48 66 {}
53 69 {}
53 74 {}
60 73 {}
